DEÜ der
WÄ/SJE Wäsche
EIN/GE/SE+S/DJE eingesetzte
SJAL/DJE/DJE schaltete
SDIL/GLEÜKD stillgelegt
IL/LU/SI/ON Illusion
BHÄOD/LIKʃ behördlich
HÄO/DJN hörten
WAÜS/DJN wahrsten
BE/GDÄMn bekämen
AM/BIn/DJE Ambiente
AN/DEÜ/SON Anderson
BDJNN/R~U/DJEN Routen
UN/FAL/HEÜ/GA+N Unfallhergang
BE/ED/HO/FNS Beethovens
GDOMPn/S~ID kompensiert
SWEÜ/WIKn/DN schwerwiegenden
SWEI/FA/SHJE zweifache
FWEÜ/GÜ/DJU+N Vergütung
AUS/REIKʃD ausreicht
GNEÜ/MIK/DJE genehmigte
MID/GMAKʃD mitgemacht
SDEI/GEÜ+D steigert
DJAÜKS tags
GMEIN/DRAs Gemeinderats
BAL/DKn baldigen
GRA/FIn/DN gravierenden
GMEIN/DE/GE/BID Gemeindegebiet
Ss/GDJU/A/LI/DJÄD Sexualität
BHEÜ/BEÜKD beherbergt
H~I/HEÜ hierher
BDA/RA/GRAF Paragraf
Ss/BDA/RA/DJN separaten
GDAUN/DJÄI County
ED/WAÜD Edward
GE/GDOKʃD gekocht
FA/MLI Family
BAU/MAÜ+S/NAÜMn Baumaßnahmen
BRIKʃs Berichts
FO/OD Food
SDAÜs/SJU+S Staatsschutz
EIN/DJREFn eintreffen
SDA/DJO/NÄ/REÜ stationärer
EIN/W~O/NEÜ/SHMAÜL Einwohnerzahl
EÜ/FIN/DEÜ Erfinder
HOLS/MIN/DN Holzminden
REISs/FAN/SDAL/DJEÜ Reiseveranstalter
SJRO/NIʃn chronischen
GLA+N/DJE gelangte
BDRÄ+N/NIS Bedrängnis
WAÜN/SDREIKS Warnstreiks
EIN/BRUFn einberufen
AN/SAM/LU+Nn Ansammlungen
EK/LA+D Eklat
GDRIKSn/DE Kriegsende
DJES/SI/NEÜ Tessiner
FI/SJONn Visionen
MO/RA/LI/SJE moralische
SOF/JE/DJʃn sowjetischen
DÄI+D Date
BDRO/SHME/DRE Prozedere
SO/SHMAL/HAIL/FE Sozialhilfe
FAL/SJES falsches
HAIN/SHMU/GF~ÜKD hinzugefügt
UN/DJRE untere
WEI/GEÜ+D weigert
DÄN Dan
GDRÄ+N/HEIs/FLAUF Krankheitsverlauf
GDWO/DJN Quoten
DJA+D/SHMEI+D Tatzeit
BE/SHMEIKʃ/NE/DJN bezeichneten
RAS/DJE raste
A/SHMU/BIS Azubis
MEÜn mehren
AÜ/BEIs/MNIS/DJEÜ Arbeitsminister
GDA/LO/RIn Kalorien
DJREPn/HAUS Treppenhaus
+Sn/DJI/ME/DJEÜN Zentimetern
AP/SJAFn abschaffen
AP/SHMI/HN abziehen
SIM/BDEL simpel
WÜN/SJNS/WEÜD wünschenswert
MOP/BI+N Mobbing
SA/LA+D Salat
DJA+N Tank
SWIL/LIN/GE Zwillinge
SDREPn streben
BE/DI+N/DJEN bedingten
GRI+NS/DJN geringsten
AP/GD~Ü/LU+N Abkühlung
AP/SDANs/RE/GLU+Nn Abstandsregelungen
DJOD/SLAÜKS Totschlags
AP/GE/SJAL/DJE+D abgeschaltet
SHMU/GE/SLAÜKn zugeschlagen
FEUKD Voigt
BAU/DJN bauten
BEÜK/AP bergab
EF/FEK/DJI/FWEÜ effektiver
FLA/GEÜN verlagern
BRÄOD/SJN Brötchen
FI/NA+NS/HAILFn Finanzhilfen
MAÜKD/W~ID/SJAFD Marktwirtschaft
FWEÜ/LAU/DJEN verlauten
FAS/SHMI/NA/DJON Faszination
BE/GRÜN/DE/DJN begründeten
BE/S~OK/DJE besorgte
EU/RO/BDÄI/SJES europäisches
A/DRESn Adressen
GDÄO/BDEÜ/GDON/DJAKD Körperkontakt
MA/LE/REI Malerei
BDE+N/LIKʃ bedenklich
EIN/FA/SHJES einfaches
HEÜ/F~O/RAÜKn/DN hervorragenden
NE+D/DJO netto
GDMO/OK Cook
GDOM/MEÜ/SHMI/ELn kommerziellen
FEÜ/SRIPn verschrieben
FEÜ/NAN/DO Fernando
BE/SJEÜ/DJE bescherte
MI+D/DJEL/SDÄN/DI/SJE mittelständische
DJA/GLA+N tagelang
SHMU/WEILn zuweilen
GE/SAMD/WEÜ/DJU+N Gesamtwertung
RA/MO/NA Ramona
DÜS/DJRE düstere
HRAUS/RAÜKn/DN herausragenden
BDRÄÜKD prägt
REIF reif
FEÜ/HEs/n/DE verheerende
RA+N/LIS/DJE Rangliste
SHMU/GDEÜ/BEÜK Zuckerberg
SHMU/WAN/DRU+N Zuwanderung
GWAʃn gewaschen
WEID/REIKʃn/DN weitreichenden
EIN/SA+S/~O+D Einsatzort
DES/IN/FEK/DJON Desinfektion
GMEIN/DE/FWAL/DJU+N Gemeindeverwaltung
GDE/JNA Kenia
DJ~U/NEs Tournee
DJRA+P Trapp
UM/WELD/MNIS/DJRIN Umweltministerin
BDN/BFRAKʃ entsprach
HAIN/SHMU/GDOMn hinzukommen
BEÜ/MID/DJELN übermitteln
SHMU/RÜK/GE/GPn zurückgegeben
FEIN/UN/SHME Feinunze
GDAÜ/FREI/DJAÜK Karfreitag
DJI/GEÜS Tigers
HÄOKSD/WAÜ/SJEIN/LIKʃ höchstwahrscheinlich
BDN/SLOSn/HEID Entschlossenheit
FAKʃ/MA/GA/SHMIN Fachmagazin
SE+P Sepp
BFIL/GDLAS/Ss Spielklasse
AP/GE/BIL/DE+D abgebildet
AP/SHMU/FE/DEÜN abzufedern
BEÜK/AUF bergauf
SHMU/GE/SDELD zugestellt
DIS/SHMI/BDLINn Disziplinen
E/FAÜ/GDU/I/RU+N Evakuierung
BDRO/DUK/DJI/FWI/DJÄ+D Produktivität
EL/BE Elbe
FAKʃ/LEU/DJN Fachleuten
FWE/NUS Venus
HAIN/DJEÜ/L~I+S hinterließ
EIN/NAÜ/ME Einnahme
GE/SJAL/DJE+D geschaltet
O+P/DJI/M~I/RU+N Optimierung
SE/A+D Seat
+KD/+K CDC
RÄU Roy
BE/SE+S/DJE besetzte
BDN/HAL/DJNn enthaltenen
GDNA+P/BDEÜ knapper
AMs Amts
O/BEÜ/BFALS Oberpfalz
GDJÄI/BDE Skype
FEÜ/FAÜn verfahren
WEÜ/DJE/DJE wertete
SU+P/BDE Suppe
BHJ~I/LE Thiele
UN/DJEÜ/NEÜ/MEÜN Unternehmern
EÜSD/MA/LIK erstmalig
GDMO/FWEÜ Cover
EÜ/F~O/SJU+N Erforschung
MA+D/SHJES Matches
SAI/SON/BE/GIN Saisonbeginn
FEÜ/HAL/DJNS/RE/GELN Verhaltensregeln
MASn/HAFD massenhaft
DJAÜK/DJÄÜK/LIKʃ tagtäglich
MA+PS Maps
RÜKn/DE/GDU+N Rückendeckung
AP/GE/BFILD abgespielt
UN/GLAUP/LIKʃn unglaublichen
W~IK/SAMn wirksamen
WO/RUM worum
BUKs Buchs
AUS/SHMU/GPn auszugeben
BEÜ/WEISn überweisen
BUN/DES/BDO/LI/SHMIS/DJN Bundespolizisten
HAIN/DJEÜ/GDO+PF Hinterkopf
ELF/DJN elften
GDOM/BDLE/GDJEÜ komplexer
NASs nass
BWE/GU+NS/FREI/HEID Bewegungsfreiheit
MA/GDJI/MUM Maximum
AP/HEPn abheben
GE/WEÜ+D gewehrt
HAIN/SHMU/WEISn hinzuweisen
WAÜL/WEISs wahlweise
WEIP/LIKʃ weiblich
GRAÜ graue
Ä+P/FEL Äpfel
BE/SHM~IKS/HAU+PD/MA+N/SJAFD Bezirkshauptmannschaft
DES/IN/FEK/DJONS/MID/DJELN Desinfektionsmitteln
~Os/DJEILn Ortsteilen
BFANn/DEÜ spannender
AN/~OD/NU+Nn Anordnungen
EIN/SHMEL/FÄLn Einzelfällen
UM/WAND/LU+N Umwandlung
HEÜ/F~OD Herford
GDAUF/LAND Kaufland
BDE/RI/O/DE Periode
FEÜ/SJI/BU+Nn Verschiebungen
BE/SDEL/DJE bestellte
SDEI/GEÜ/DJE steigerte
DJI/FEn tieferen
HOF/NU+NS/DJRÄ/GEÜ Hoffnungsträger
H~Ü/NEÜ Hühner
GDOS/DJÜ/ME Kostüme
SJE/Mʃn chemischen
FEÜ/DÄKʃ/DJIKD verdächtigt
E/MRA/DJN Emiraten
GDOM/BDLI/SHM~I/DJN komplizierten
SDEU/REÜ/GDLÄ/RU+N Steuererklärung
BEIN/DRUKn beeindrucken
FWEI/GEÜ/DJE verweigerte
GRAN/DE Grande
SDAD/SHMND/RUM Stadtzentrum
BNAKʃ/BAÜ/DJE benachbarte
FLÄN/GEÜ/DJN verlängerten
A/LON/SO Alonso
DREÜ/LEI/DJEÜ Drehleiter
GIF/H~ON Gifhorn
SW~I/RI/GES schwieriges
BDJNN/F~ÜSD Fürst
FWOL/FWO Volvo
S~IP/DJE siebte
FEÜ/SJE+ND verschenkt
REN/SDAL Rennstall
AN/GE/SDRE+PD angestrebt
DJ~I/SJU+S Tierschutz
DAU/EÜ/DJN dauerten
N~O/WE/GI/SJE norwegische
WEI/DJEÜ/F~Ün weiterführen
BIN/DEÜ Binder
FAÜ/BF~U+ Fahrspur
EÜ/WAKʃ/Ss/Nn erwachsenen
HAUS/DJ~I/RE Haustiere
HEI/NEÜ Heiner
BF~O+S/HEIM Pforzheim
AN/GE/SD~O+Sn angestoßen
DI/NE diene
GHEI+Sn geheißen
HELn hellen
BDJNN/E/MLI Emily
GKn/DJREF/FEÜ Gegentreffer
GÄÜ+D/NEÜ Gärtner
ME/DAILn Medaillen
WAÜ/DJU+N Wartung
SHMÄÜ/LU+N Zählung
FREU/DJN freuten
NA/DJ~U/GMÄÜ+S naturgemäß
LOPn loben
SN/SI/BLE sensible
BREMSD bremst
EFn/DJU/EL/LE eventuelle
GD~I+S Kiez
AUS/SHMU/WEI/DJN auszuweiten
E/LEK/DJRO/NIʃ elektronisch
LAÜM/GLEÜKD lahmgelegt
SDJÄI/SHJO/LO/GI/SJE psychologische
FEÜ/GDEÜn verkehren
AK/DJI/FWIS/DJIN Aktivistin
DJA/BELn/F~Ü/RU+N Tabellenführung
LO/GI/SJE logische
GWALD/DJA/DJN Gewalttaten
HAFD/RIKʃ/DJEÜ Haftrichter
AMD/LIKʃn amtlichen
MAN/SHJEM manchem
SJEI/DN scheiden
AP/SREI/BU+Nn Abschreibungen
M~OD/GDOM/MIS/SI/ON Mordkommission
DJÄI+PS Typs
HAIN/D~U+Kʃ hindurch
F~O/GDOMD vorkommt
SHMUSs/HNs zusehends
GE/SED/+Sn Gesetzen
NAÜ/RU+NS/MI+D/DJEL Nahrungsmittel
UL/MEÜ Ulmer
~I/GND/EI/NE irgendeine
SELPSD/BE/SDIM/MU+N Selbstbestimmung
SHJRIS/DJI Christi
MIL/LI/AÜ/DN/SWE/RE milliardenschwere
FAND/W~OD/LIKʃn verantwortlichen
HUN/DJEÜ Hunter
GDE+P/LEÜ Kepler
GDRAÜKn Kragen
GD~US/GWIN/NE Kursgewinne
BE/GN~ÜKn begnügen
SON/NIK sonnig
DRID/LI/GIS/DJN Drittligisten
DJRI/BDLE Triple
BO/NI Boni
E/WIK/GDEI+D Ewigkeit
GE/SUND/HEIs/WE/SNS Gesundheitswesens
GDIN/DEÜ/WAÜKn Kinderwagen
LA/GEÜ/HAL/LE Lagerhalle
NI/DEÜ/SLAÜK Niederschlag
BDA+/SAÜKn Passagen
EÜ/HOF/DJN erhofften
LOS/LEÜKn loslegen
AP/GRUND Abgrund
BDO/LI/SHMIS/DJINn Polizistinnen
SDAÜ+D/LÄO/SHJEÜN Startlöchern
DAU/E/RE dauere
FOL/GAS Vollgas
MI+D/DJEL/SJU/LE Mittelschule
LE/BNS/UN/DJEÜ/HALD Lebensunterhalt
SDAM/BF~I/LEÜ Stammspieler
BLÄOD blöd
GNE/RELn generellen
FAKʃ/HOKʃ/SJU/LE Fachhochschule
MID/DJEL/GR~O+Sn mittelgroßen
AU+Sn/MNIS/DJRI/UMS Außenministeriums
BDAÜ+D Part
FWEÜ/FOL/GU+NS/JAÜKD Verfolgungsjagd
BRU/HN beruhen
DRÄ+N/DJE drängte
SELD/SA/ME seltsame
BAN Bann
DU/GDMA/DJI Ducati
SNEL/LIK/GDEID Schnelligkeit
GDLU/GE kluge
N~ID/RIKS/DJE niedrigste
G~Ü/DJEL Gürtel
BDO/LI/SHMEI/GWAÜ/SAM Polizeigewahrsam
GDJULP/DJUn Skulpturen
WAFn/SDIL/SDAND Waffenstillstand
WELD/FEÜ/BAND Weltverband
MOKʃ/DJE mochte
RO/BUSD robust
UN/AN/GNEÜ/ME unangenehme
SJO+PS Shops
GE/B~Ü/DJKn gebürtigen
AÜ/BEIs/GMEIN/SJAFD Arbeitsgemeinschaft
MIS/SJONn Missionen
FWEÜ/GDÜN/DU+N Verkündung
AN/GFRAÜKD angefragt
AUF/DJAUKʃD auftaucht
BREKʃ/Nn berechnen
SRID/WEISn schrittweisen
S~O/DJ~I+D sortiert
F~OD/NE/DJN verordneten
GJM/NA/SIn Gymnasien
BDUP/LI/GDUMS/FWEÜ/GDEÜ Publikumsverkehr
SO/F~OD/HAILFn Soforthilfen
FLOSn flossen
O/BRE obere
HÄOKSD/GE/SWIN/DIK/GDEID Höchstgeschwindigkeit
BDAÜ/DJEI/SHJE/FIN Parteichefin
SIKʃD/WEISs Sichtweise
A/JAKS Ajax
AUF/HOL/JAÜKD Aufholjagd
EIKs/FELD Eichsfeld
FRAN/GDE Franke
GDNND/NIS/Ss Kenntnisse
BID/DJn bitteren
EÜ/F~Oʃn erforschen
NA/DJO/NAL national
AUF/SLUS Aufschluss
DIKʃ/DJN dichten
SDOPD stoppt
E/LEK/DJRO/NIK Elektronik
GR~O+S/DJEILS großteils
BDRÜ/FE prüfe
RU/HAI/GE ruhige
MAÜ+S/SDÄ/BE Maßstäbe
AUF/HOLn aufholen
BES/Ss/REÜ besserer
IN/DJEÜ/BDRE/DJIn interpretieren
FEÜ/DJEIL/DJN verteilten
EIN/DJRIs/GDAÜ/DJN Eintrittskarten
OP/JEK/DJN Objekten
FIKS/GDOS/DJN Fixkosten
SA/LE Sale
W~ID/SJAFs/FÄO/DRU+N Wirtschaftsförderung
EIN/GDRU+Nn eingedrungen
RIKʃ/DJI/GES richtiges
A/NO/NIMn anonymen
BAN/BFRUKʃD beansprucht
GDA/DJAS/DJRO/BHAL katastrophal
RE/A/LIS/DJI/SJE realistische
DJRO/GDE/NE trockene
UN/EÜ/GDAND unerkannt
EÜ+S/BI/SJOF Erzbischof
HOS/BDI/DJAL Hospital
JA/NI/NE Janine
RAKʃ/DJED erachtet
SDEL/FEÜ/DJRE/DJND stellvertretend
FWI+K/DJ~O Victor
SN/SI/BI/LI/SIn sensibilisieren
FA/SJED/DJN Facetten
INn/SDÄD/DJN Innenstädten
J~ON/SONS Johnsons
GDAN/DJONS/RA+D Kantonsrat
WAÜ/SHMEIKʃn Wahrzeichen
BUN/DES/FEÜ/GDEÜS/MNIS/DJEÜ Bundesverkehrsminister
GDMA/SI/NOS Casinos
SHJAÜs Charts
DE/BDAÜ/DJE/ME+ND Departement
GDA/BI/NEs/SI+D/SHMU+N Kabinettssitzung
AS/SE+D Asset
E/BDI+Sn/DJRUM Epizentrum
HAL/LOF/En Halloween
MU/DJA/DJON Mutation
AN/RIKʃ/DJN anrichten
NAKʃ/HOL/BDAÜF Nachholbedarf
W~ON/MO/BIL Wohnmobil
EÜ/WAKʃ/SN erwachsen
MO/DJ~OS Motors
BDEÜ/SO/NAL/GDOS/DJN Personalkosten
WAÜL/LEU/DJE Wahlleute
AKʃ/DJE+D achtet
GAS/DJRO/NO/MI/BDJRI/BE Gastronomiebetriebe
BLAS/DJE/DJN belasteten
GMEIN gemein
DJLE/FO/NIn telefonieren
SDAD/DJRÄ/DJIN Stadträtin
GNEÜ/MIK/DJN genehmigten
A/DJEM/AL/GDO/HOL/DJESD Atemalkoholtest
GE/BFRÄKs/BDAÜ+D/NEÜ Gesprächspartner
FREI/GLASn freigelassen
GDJROF/FE/NE getroffene
GI/GAN/DJʃn gigantischen
FWEÜ/SDEI/GEÜ+D versteigert
LAND/RAs/AM/DJES Landratsamtes
NEU/EÜ/LI/SHJE neuerliche
MI+D/WOKʃ/MI+D/DJAÜK Mittwochmittag
GLIS/DJED gelistet
NÜM/BRD BRD
BI/SJOFs/GDON/FE/RE+NS Bischofskonferenz
LA/RA Lara
BHJ/SIK Physik
NÜM/RAM RAM
UN/SHMU/FRI/DN/HEID Unzufriedenheit
DO/MN~I/DJE dominierte
RAN/G~I+D rangiert
FWEÜ/F~ÜK/BA/RE verfügbare
SON/DJAÜK/FW~O/MI+D/DJAÜK Sonntagvormittag
F~O/SRIFD Vorschrift
GNEÜ/MKn genehmigen
SHMU/GÄ+N/LIKʃn zugänglichen
BNUD/SHMEÜ Benutzer
NÜM/D/GP DGB
GEL/DEÜN Geldern
BDAU/EÜN bedauern
DJNA/Mʃn dynamischen
GMALD gemalt
BAÜN/SDEIK Bahnsteig
FRIN/GRU+N Verringerung
GE/BDLA+SD geplatzt
GDÜS/DJN/WA/SJE Küstenwache
LOK Lok
BDUP/LI/GDA/DJON Publikation
LI/BA/NE/SIʃn libanesischen
BUN/DES/RA/DJES Bundesrates
GKn/SDÄN/DN Gegenständen
MAÜKn/SHMEIKʃn Markenzeichen
BDO/LI/SHMEI/DREK/DJON Polizeidirektion
SWIʃn/BI/LA+NS Zwischenbilanz
DA+ND dankt
NI/GJRA Nigeria
EIN/HEI+D/LI/SHJES einheitliches
BD~U+ pur
AN/BFRÜKʃn Ansprüchen
SDROM/FWEÜ/S~O/GU+N Stromversorgung
REI/NEÜ reiner
JA/M~I Jamie
S~Ü/SIK/GDEI/DJN Süßigkeiten
LÄOS/DJN lösten
MO/BI/LI/S~I+D mobilisiert
UN/EÜ/DJRÄÜK/LIKʃ unerträglich
FWEÜ/FAS/SU+NS/WID/RIK verfassungswidrig
BIL/L~I Billie
BDRAK/DJI/SHM~I+D praktiziert
SDRE/AMn streamen
AM/BDELN Ampeln
BDJREI/BEÜN Betreibern
HAFD/SDRAFn Haftstrafen
GDUL/DIK geduldig
AUF/FAÜ/UN/FAL Auffahrunfall
GDMONS/DJAN/DJIN Constantin
BAKʃ/MA+N Bachmann
HÄO/HE/BDU+N/DJE Höhepunkte
SJ~IM Schirm
SID/LU+Nn Siedlungen
EMP/FEÜ/LE empfehle
FWEÜ/MISs/DJE vermisste
FNOMn vernommen
BDJNN/AL/FA Alfa
AL/DJN/HEIM Altenheim
AUS/Gn/SHMU+N Ausgrenzung
RE/GIS/DJEÜ Register
AP/SL~I+Sn/DN abschließenden
Ä/DJI/O/BDIn Äthiopien
BA/DEÜ Bader
BAD/MU+N Beatmung
E/WI/GE ewige
SJÜ+D/DJELN schütteln
BFE/SHMI/FI/SJE spezifische
FWEÜ/SUKʃ/DJEÜ versuchter
EIN/SHMEL Einzel
SDAD/FIN/DN/DN stattfindenden
AP/NAÜ/ME Abnahme
MID/BWEÜ/BEÜ Mitbewerber
FEINS/GE/SJIKʃ/DJE Vereinsgeschichte
BDJNN/BDAÜFs Bedarfs
GD~Ü/SHMU+Nn Kürzungen
BDJNN/BFAN/NE Pfanne
W~I+D/SJAFs/BDRÜ/FEÜ Wirtschaftsprüfer
AÜK/GRES/SI/FWEÜ aggressiver
BFRAÜK/DJE befragte
DÜS/DJn düsteren
EÜ/WEKD erweckt
RUD/ʃn rutschen
BAÜN/HOFs Bahnhofs
GLE+ND gelenkt
BEÜ/GWIKʃD Übergewicht
BDJEI/LI/GU+Nn Beteiligungen
E/LEK/DJRO/AU/DJO Elektroauto
H~U+/RI/GDAN Hurrikan
GDEÜL Kerl
RE/BDA/RA/DJUn Reparaturen
AP/GWINn abgewinnen
GAND/W~O/DJED geantwortet
UN/FAL/~U/SA/SJE Unfallursache
FW~O/RA+D Vorrat
SHMI/DJIn zitieren
AK/DJN/MÄÜK/DJN Aktienmärkten
EIN/SA+S/LEI/DJEÜ Einsatzleiter
FAÜ/GASD Fahrgast
GDUL/DJUS/MNIS/DJRI/UM Kultusministerium
RE/DAK/DJÄO Redakteur
FEÜ/FAS/SU+NS/GRIKʃD Verfassungsgericht
BE/FUN/DE Befunde
LE/BNS/MID/DJEL/SI/SJEÜ/HEID Lebensmittelsicherheit
SLUS/MA+N Schlussmann
NEÜFD nervt
BUN/DES/GDRI/MNAL/AMD Bundeskriminalamt
GMEIN/SJAFs/WÄÜ/RU+N Gemeinschaftswährung
DJAKS Task
FW/G VG
AN/EÜ/GDAN/DJN anerkannten
SHMEÜ/SLAÜKn zerschlagen
FEÜ/FAS/SU+NS/GRIKʃs/HOF Verfassungsgerichtshof
BEIN/DRUKn/DN beeindruckenden
SHJRISD/LI/SHJE christliche
GDLAS/Ss klasse
GDO/O/BDE/R~I+D kooperiert
MIN/DEÜ minder
MOMn/DJANn momentanen
NI/DEÜ/GLAS/Ss/Nn niedergelassenen
GDIN/DES/MISs/BRAUKʃ Kindesmissbrauch
SA/NI/RU+NS/AÜ/BEI/DJN Sanierungsarbeiten
AP/GE/SJOPn abgeschoben
AN/FÄ+N/LIKʃn anfänglichen
GLAUP/W~Ü/DIK glaubwürdig
AUF/REKʃD/EÜ/HAL/DJU+N Aufrechterhaltung
Bn/NEÜ Brenner
GDA/DJA/LANn Katalanen
FWEÜ/D~INS/DJE Verdienste
AN/SHMU/BFREKʃn anzusprechen
BAÜ/RI/E/RE/FREI barrierefrei
HÄOKSD/WEÜ/DJE Höchstwerte
KF/+K KFC
BDO/LI/SHMEI/WA/SHJE Polizeiwache
RAD/FWEÜ/GDEÜ Radverkehr
BE/GDAND/GPn bekanntgeben
NÜM/BA BA
EÜ/SDA+D/DJU+N Erstattung
E/DJAÜKn Etagen
GRUND/WAS/SEÜ Grundwasser
GDUL/DJ~U/EIN/RIKʃ/DJU+Nn Kultureinrichtungen
FW~O/SJEIN Vorschein
AUS/GE/SDIKn ausgestiegen
BHILD behielt
HAÜ/DJES hartes
LAND/W~ID/SJAFD/LI/SJE landwirtschaftliche
NÜKʃ/DJEÜN nüchtern
LÄN/DEÜ/BF~IL Länderspiel
BF~OD/WAÜKn Sportwagen
AUF/GE/SE+SD aufgesetzt
UN/GLEIKʃ ungleich
WID/ME/DJE widmete
EUKn Eugen
GDIN/DEÜ/GAÜ/DJNS Kindergartens
LAIF/DJI/GDEÜ Liveticker
MAÜKn Magen
GDLEI/NE/REÜ kleinerer
SN/SI/BLn sensiblen
BRÄN/DN Bränden
GDWAD/RA+D/GDI/LO/ME/DJEÜ Quadratkilometer
AUS/BFRA/SHJE Aussprache
RUN Run
RÜK/SLÄ/GE Rückschläge
AU/DJN/DJIʃ authentisch
UN/DJEÜ/LASn unterlassen
LEI+P/SHMIKS Leipzigs
BDR~O/LIKʃ bedrohlich
GE/SDEL/DJE gestellte
FMAÜK vermag
LAIn Laien
NAKʃ/GA+N Nachgang
FAÜ/MAUN/DJEÜ/NEÜMn Pharmaunternehmen
WAÜ/RU+N Wahrung
AUS/REIKʃn/DN ausreichenden
EÜ/LE/BE erlebe
BE/SHMÜ/GE Bezüge
BDJNN/HEMD Hemd
JE/RE/MÄI Jeremy
LIKn/SJAF/DJN Liegenschaften
AN/SHMU/GD~U+/BELN anzukurbeln
SHMU/RÜK/GE/SHMAÜLD zurückgezahlt
BESD/SHMEI+D Bestzeit
GDIS/DJN Kisten
SDJI/SJO/L~OKn Psychologen
DJO/MA/DJN Tomaten
FIn/NA Vienna
GEIS/DJIK geistig
BDO/LI/SHMEI/BDRÄ/SI/DE+ND Polizeipräsident
FREUND/LIKʃn freundlichen
GFIL gefiel
MAÜ/GDIn markieren
BDLE/NUM Plenum
SLÜS/Ss Schlüsse
SDRAF/FWEÜ/FOL/GU+N Strafverfolgung
NÜM/FW+P VP
AUS/SAÜKn aussagen
GEIS/DJKn geistigen
GE/SAM/MEL/DJN gesammelten
GASD/BEI/DJRAÜK Gastbeitrag
EIN/LAS/SEN einlassen
GLÜK/LI/SHJE glückliche
LÄ/GE läge
MAN/GELN/DEÜ mangelnder
FW~O/WÄÜs vorwärts
EIN/SA+S/SDEL/LE Einsatzstelle
SIN/LOS sinnlos
AN/BF~I/LU+N Anspielung
FEÜ/SLEKʃ/DJRU+N Verschlechterung
FLÄKʃn/DKn/DN flächendeckenden
REÜK/NE+D regnet
GDRAN/Kn/SWES/DJEÜN Krankenschwestern
GDUF/SDEIN Kufstein
HRE/DJO/RIK Rhetorik
R~I/GEL Riegel
AUS/G~I/BIK ausgiebig
BESD/MÄOK/LI/SJE bestmögliche
FUN/GIn fungieren
HE/EÜ Heer
GDOM/MU/NAL/BDO/LI/DJI/GDEÜ Kommunalpolitiker
BFOD Spott
SDRAF/SD~O+S Strafstoß
NÜM/DJÜF TÜV
FRESn fressen
AND/WRPn Antwerpen
BFAÜ/GEL Spargel
DJO/DJO Toto
HAU+D haut
F~O/SHMU/BEUKn vorzubeugen
GDOM/MU/NAL/BDO/LI/DJIK Kommunalpolitik
BFID/+Sn/GDAN/DI/DAD Spitzenkandidat
HEILn heilen
GDRI+P/BDE Krippe
LAND/DJAÜKS/AP/G~OD/NE/DJE Landtagsabgeordnete
DJ~O/SHJAN/SHJEN Torchancen
MI+D/WOKs mittwochs
AUS/Ü/BU+N Ausübung
DON/NEÜS/DJAÜK/MI+D/DJAÜK Donnerstagmittag
MA/NI/BDU/LA/DJON Manipulation
EMP/FIN/DE empfinde
MID/DJN/DRIN mittendrin
RA/BA+D/DJE Rabatte
SDEL/BDLÄ+D/SHME Stellplätze
IN/DJEÜK/RI/DJÄ+D Integrität
GRA/DJU/L~I/DJE gratulierte
BUN/DES/GE/SUND/HEIs/MNIS/DJRI/UM Bundesgesundheitsministerium
AUS/GSs/HN ausgesehen
SON/NIKn sonnigen
FW~I/LEÜ/LEI vielerlei
BDEU/GEO+D Peugeot
UN/DJEÜ/SDÜ+D/SHMEÜN Unterstützern
FPn/NEÜ Verbrenner
DMN/DJ~ID dementiert
FLE/GDJI/BLEÜ flexibler
BRI+D/DJA Britta
BÜKʃ/NEÜ Büchner
BF~IL/MA/SHJEÜ Spielmacher
DJA/GES/FLAUF Tagesverlauf
BDJNN/MAÜL Marl
NA/DJU/RE Nature
FWE/RA Vera
SHMAÜK/REP Zagreb
AUS/SHMAÜLn auszahlen
EIN/GFA+Nn eingefangen
GDOM/BDLI/SHM~I/DJE komplizierte
NEIKD neigt
JAÜ/HUN/DEÜ/DJN Jahrhunderten
RAs/SI+D/SHMU+N Ratssitzung
SA+D/DJEL/SHM~UK Sattelzug
FI/SHME/BDRÄ/SI/DN/DJN Vizepräsidenten
AUF/BWAÜD aufbewahrt
BEÜ/ROLD überrollt
GWALD/DJÄ/DJKn gewalttätigen
LUS/DJI/GE lustige
SHMU/SAMn/GE/SD~O+Sn zusammengestoßen
GREIFs/WALD Greifswald
SHAI+D/SD~OM Shitstorm
SDAÜLn stahlen
DJREN/DJN trennten
FOL/Ns vollends
BE/REI/DJE bereite
FWEÜ/GDÄU/FE/RIN Verkäuferin
AN/GE/SE+S/DJE angesetzte
UN/BE/SDIM/DJN unbestimmten
EIN/WÄN/DE Einwände
SJAKʃ Schach
EÜ/WÜNʃD erwünscht
AN/DJSs/MI/DJI/SJE antisemitische
EÜ/WÄÜNn erwähnen
NAKʃ/MI+D/DJAÜKS nachmittags
BAU/HOF Bauhof
LAN/DES/BDO/LI/SHMEI/DREK/DJON Landespolizeidirektion
MA/SJE Masche
BDO/LI/SHMEI/HUP/SRAU/BEÜ Polizeihubschrauber
W~I/DEÜ/BE/GIN Wiederbeginn
GE/GDOND gekonnt
DJA/GE/BUKʃ Tagebuch
AUF/RÄUM/AÜ/BEI/DJN Aufräumarbeiten
I/SO/L~I/RU+N Isolierung
U/RI Uri
GD~Ü+Sn kürzen
